Model,Dataset,Accuracy,Training Time (s)
logistic,airlines,0.9006172839506172,1.1041529178619385
adaboost,airlines,0.8709876543209877,15.553189277648926
svm,airlines,0.9092592592592592,47.22345185279846
lstm,airlines,0.8024691358024691,232.80314111709595
bert,airlines,0.8641975308641975,1522.6038088798523
roberta,airlines,0.8703703703703703,1523.230623960495
logistic,amazon,0.82,0.12496209144592285
adaboost,amazon,0.77,1.47953200340271
svm,amazon,0.865,0.3038609027862549
logistic,yelp,0.795,0.08527112007141113
adaboost,yelp,0.715,1.4642119407653809
svm,yelp,0.815,0.5219259262084961
